cc_num,merchant,category,amt,first,last,gender,street,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,Trans_Date,Trans_Time,location
252,646,13,6.02,Rebecca,Conley,1,163,54487,45.4963,-89.7273,9594,402,848,3915,1371817306.0,45.47444,-89.539774,0.0,0,731,775
314,656,12,9.87,Kristen,Hanson,1,243,48438,42.9147,-83.4845,6951,250,654,7179,1371817307.0,43.702833,-83.750248,0.0,0,731,289
732,378,1,47.06,Terri,Bailey,1,477,94015,37.6787,-122.478,107941,51,768,1972,1371817388.0,38.048242,-123.12568,0.0,0,733,196
760,258,5,1.7,William,Johnson,0,478,5155,43.1699,-72.8515,828,391,197,3426,1371817389.0,42.390565,-71.932418,0.0,0,733,731
532,366,10,2.17,Cody,Hooper,0,669,72354,35.6069,-90.3359,2470,105,365,1677,1371817433.0,36.581541,-89.680517,0.0,0,733,431
415,154,13,6.21,Kathleen,Martin,1,610,77358,30.5354,-95.4532,4993,393,109,4862,1371817451.0,31.432355,-95.537859,0.0,0,734,545
223,382,10,24.44,Mary,Schmidt,1,21,10162,40.7699,-73.9511,1577385,38,201,7688,1371817456.0,40.951475,-74.065226,0.0,0,734,546
352,296,10,176.23,Frank,Key,0,513,40056,38.3039,-85.4834,3263,414,20,2007,1371817509.0,38.585316,-86.108185,0.0,0,735,616
227,164,6,134.39,Mary,Wall,1,225,7060,40.6152,-74.415,71485,254,476,6087,1371817570.0,40.196876,-74.407686,0.0,0,736,623
609,689,10,19.03,Daniel,Cain,0,372,50421,42.8511,-93.62,3032,94,300,6620,1371817573.0,42.322809,-94.363655,0.0,0,736,69
222,451,0,210.36,Mackenzie,Salazar,1,890,53801,42.9207,-91.0685,878,386,481,4640,1371817583.0,42.736666,-90.09971,0.0,0,736,48
231,402,6,52.81,Krystal,Gamble,1,446,21102,39.6747,-76.8941,11751,84,292,341,1371817585.0,39.289186,-77.113659,0.0,0,736,459
771,170,1,82.32,James,Reese,0,251,39665,31.6453,-90.1801,1196,256,213,2853,1371817586.0,31.422908,-90.012124,0.0,0,736,729
667,551,10,26.31,Charles,Carrillo,0,158,90250,33.9143,-118.3493,93193,134,823,7499,1371817628.0,33.949418,-117.610248,0.0,0,737,329
11,264,7,134.6,Jessica,Dominguez,1,53,35903,33.9845,-85.9077,67082,59,398,6588,1371817642.0,34.727266,-86.883794,0.0,0,737,276
738,264,7,36.72,Samuel,Johnston,0,143,35229,33.4629,-86.7904,493806,292,574,3051,1371817660.0,32.761156,-85.903113,0.0,0,737,78
268,81,0,105.78,Zachary,Allen,0,638,52576,41.2001,-92.1354,568,87,381,8061,1371817674.0,41.214609,-92.226244,0.0,0,737,584
401,506,6,39.95,Jenna,Brooks,1,479,70808,30.4066,-91.1468,378909,115,522,8025,1371817686.0,30.382414,-90.923894,0.0,0,738,56
16,435,6,47.81,Andrew,Mcgee,0,394,78248,29.5894,-98.5201,1595797,178,501,2525,1371817703.0,30.50995,-99.374201,0.0,0,738,697
70,496,7,18.96,David,Wolfe,0,742,48034,42.4969,-83.2911,75830,147,484,658,1371817719.0,42.186473,-84.041557,0.0,0,738,733
122,167,0,46.67,Jessica,Garcia,1,110,67556,38.5957,-99.554,320,184,244,4191,1371817765.0,39.456658,-99.569786,0.0,0,739,479
330,112,7,30.59,Dale,Smith,0,229,76566,31.4841,-97.9903,258,470,77,3019,1371817767.0,32.053228,-97.160999,0.0,0,739,644
165,15,6,3.94,Lisa,Lin,1,827,61454,40.6761,-91.0391,725,169,444,2142,1371817770.0,40.922923,-91.977219,0.0,0,739,443
732,333,6,84.11,Jeffrey,White,0,786,21790,39.2667,-77.5101,100,345,561,6661,1371817773.0,39.535382,-77.064747,0.0,0,739,784
807,683,7,31.19,Sandra,Schwartz,1,364,38778,33.5567,-90.5451,1686,136,673,7448,1371817776.0,33.693106,-89.594744,0.0,0,739,756
53,10,1,4.91,Amanda,Spencer,1,617,7439,41.0767,-74.5982,2456,403,809,7163,1371817786.0,41.061214,-73.997981,0.0,0,739,581
339,180,5,5.36,Jackie,Davis,1,171,63665,37.3272,-91.0243,241,241,480,283,1371817796.0,38.211238,-90.421871,0.0,0,739,656
761,89,6,80.5,Joshua,Cohen,0,400,4616,44.2541,-68.5565,824,262,466,6389,1371817819.0,44.95902,-69.150254,0.0,0,740,106
434,56,0,49.57,Audrey,Gonzalez,1,328,95537,40.7268,-124.2174,276,392,17,600,1371817819.0,40.535495,-123.900519,0.0,0,740,266
25,145,0,79.51,Louis,Fisher,0,432,82514,43.0048,-108.8964,1645,192,504,1123,1371817828.0,43.143727,-109.338705,0.0,0,740,271
753,248,5,34.17,Kathryn,Smith,1,180,65072,38.2911,-92.7059,1847,428,724,7634,1371817839.0,38.420616,-92.942305,0.0,0,740,674
581,132,6,9.75,Bridget,Bowen,1,461,34953,27.2625,-80.3793,181438,335,32,5224,1371817879.0,26.708918,-79.679105,0.0,0,741,633
868,449,10,68.88,Jeremy,Roberson,0,236,5654,44.1554,-72.4847,970,15,800,5245,1371817883.0,43.760065,-72.192128,0.0,0,741,295
849,461,6,30.73,Mary,Myers,1,384,38079,36.3846,-89.4649,5577,201,304,6771,1371817892.0,36.312953,-89.938402,0.0,0,741,773
18,457,6,63.27,Melissa,Brown,1,316,20036,38.9087,-77.0414,601723,336,668,1180,1371817955.0,39.417666,-76.627816,0.0,0,742,810
356,28,0,121.46,Angie,Jones,1,643,33760,27.9004,-82.7152,172247,200,560,905,1371817956.0,27.482301,-83.200829,0.0,0,742,155
384,536,11,9.23,Judy,Hogan,1,469,11217,40.6816,-73.9798,2504700,277,859,3414,1371817959.0,41.49385,-74.258146,0.0,0,742,107
202,45,7,8.86,Jessica,Perez,1,748,85173,33.2887,-111.0985,2872,318,706,6174,1371817970.0,32.390381,-111.567332,0.0,0,742,757
255,663,6,55.53,Adam,Santos,0,670,91206,34.1556,-118.2322,172817,11,600,6500,1371817971.0,33.623691,-118.424568,0.0,0,742,288
516,5,5,2.61,John,Stevens,0,402,12534,42.247,-73.7552,17867,461,858,205,1371818001.0,41.502652,-73.721972,0.0,0,743,360
132,112,7,1.93,William,Thompson,0,885,12575,41.4575,-74.1659,2258,50,48,6463,1371818010.0,40.857733,-73.447974,0.0,0,743,671
256,28,0,20.03,Tara,Campbell,1,42,82901,41.606,-109.23,27971,290,622,7017,1371818011.0,41.899218,-108.428107,0.0,0,743,670
642,484,12,7.93,Monica,West,1,203,57036,43.2893,-97.1904,811,296,428,1879,1371818025.0,43.795359,-96.833415,0.0,0,743,365
140,220,10,20.4,Allison,Ayala,1,802,33967,26.4722,-81.8122,224256,313,659,242,1371818038.0,26.674733,-82.009233,0.0,0,743,270
415,690,5,181.87,Kathleen,Martin,1,610,77358,30.5354,-95.4532,4993,393,109,5399,1371818047.0,31.152375,-95.272196,0.0,0,744,545
855,679,6,30.72,Juan,Henry,0,887,59542,48.8328,-108.3961,192,195,296,781,1371818075.0,48.456992,-107.518067,0.0,0,744,783
661,28,0,129.58,Monica,Tucker,1,288,42171,37.0581,-86.1938,6841,451,862,4588,1371818155.0,36.192355,-85.869963,0.0,0,745,727
874,38,7,5.13,Kenneth,Robinson,0,250,7208,40.6747,-74.2239,124967,305,576,143,1371818155.0,41.131668,-75.188408,0.0,0,745,243
550,310,12,189.99,Kimberly,Gonzalez,1,673,72011,34.5091,-92.4828,4074,392,499,6046,1371818177.0,34.44252,-92.264081,0.0,0,746,58
120,174,11,5.37,Robert,Evans,0,16,75048,32.9643,-96.6012,20328,405,655,5915,1371818223.0,32.071768,-96.748077,0.0,0,747,687
470,382,10,6.04,Bradley,Anderson,0,379,56029,43.5089,-93.4824,744,90,359,3699,1371818279.0,44.388218,-93.400188,0.0,0,747,247
157,561,1,15.49,Matthew,Lambert,0,664,53061,43.9446,-88.0911,5196,75,536,760,1371818284.0,43.52303,-88.132231,0.0,0,748,543
224,209,11,4.94,Charles,Robles,0,324,33710,27.7898,-82.7243,341043,157,725,3707,1371818285.0,28.669762,-82.456744,0.0,0,748,695
588,199,10,74.52,Tanner,Carroll,0,467,15324,40.1008,-80.0652,632,112,730,192,1371818302.0,40.067362,-80.213927,0.0,0,748,163
541,144,12,4.4,Beth,Lambert,1,601,73564,34.847,-98.9836,551,21,402,3276,1371818350.0,34.858369,-98.135879,0.0,0,749,678
524,213,6,71.68,Lindsay,Wilson,1,706,64019,38.7897,-93.8702,2368,140,728,4525,1371818365.0,39.485253,-92.983354,0.0,0,749,140
484,89,6,33.97,Sharon,Johnson,1,665,98238,48.34,-122.3456,85,375,623,6484,1371818382.0,49.031436,-122.865744,0.0,0,749,174
327,657,1,20.87,Joshua,Mendoza,0,397,26237,38.8564,-80.158,571,3,351,2862,1371818384.0,38.416893,-79.24534,0.0,0,749,760
94,38,7,19.41,Michelle,Rodriguez,1,157,88355,33.3305,-105.6933,8874,258,871,3212,1371818385.0,33.775701,-106.03686,0.0,0,749,683
311,23,10,21.57,Benjamin,Martin,0,40,13425,42.9576,-75.4838,1970,351,114,1914,1371818389.0,42.541989,-75.057743,0.0,0,749,591
738,485,1,19.06,Samuel,Johnston,0,143,35229,33.4629,-86.7904,493806,292,574,7442,1371818394.0,33.936769,-86.762376,0.0,0,749,78
62,368,1,60.07,Edward,Hensley,0,219,49629,44.8955,-85.4082,2223,69,663,2128,1371818396.0,45.877554,-85.362472,0.0,0,749,245
595,81,0,15.8,Stephen,Marshall,0,445,7750,40.333,-73.9809,3279,209,539,5188,1371818432.0,41.186828,-74.811464,0.0,0,750,506
733,615,9,2.01,Vincent,Ward,0,58,1535,42.2665,-72.0821,4680,182,667,4447,1371818433.0,42.127625,-71.635136,0.0,0,750,558
814,619,0,75.24,Adam,Riddle,0,257,45051,39.0965,-84.6431,177,178,474,7564,1371818436.0,39.417127,-84.959324,0.0,0,750,527
52,348,1,56.3,Christopher,Cummings,0,456,68438,40.6267,-96.7456,142,76,348,7221,1371818445.0,41.41602,-95.774493,0.0,0,750,737
39,547,0,5.95,Bryan,Miller,0,393,24927,38.388,-79.9906,365,411,394,3028,1371818494.0,38.665727,-80.435349,0.0,0,751,132
670,520,10,19.73,Jared,Walters,0,323,72524,35.8184,-91.3375,376,113,51,6516,1371818527.0,34.871462,-91.496576,0.0,0,752,175
157,599,1,128.33,Matthew,Lambert,0,664,53061,43.9446,-88.0911,5196,75,536,4100,1371818531.0,43.051363,-87.799946,0.0,0,752,543
341,469,7,136.16,Theresa,Blackwell,1,414,25442,39.3716,-77.8229,1925,425,321,434,1371818549.0,39.544819,-76.943965,0.0,0,752,716
608,262,10,16.8,Gail,Weaver,1,886,29809,33.413,-81.69,2206,44,684,507,1371818587.0,33.647548,-80.75383,0.0,0,753,540
220,85,7,113.89,Michelle,Woods,1,860,49259,42.3703,-84.2485,2523,204,712,6351,1371818589.0,42.225874,-83.540129,0.0,0,753,531
744,484,12,37.14,Allison,Allen,1,390,72042,34.2853,-91.3336,5161,139,798,4147,1371818594.0,35.026522,-90.444442,0.0,0,753,204
725,313,1,16.06,Wayne,Payne,0,547,44223,41.1464,-81.5107,47772,174,324,123,1371818638.0,40.312539,-81.654015,0.0,0,753,192
730,400,12,1.01,Valerie,Davis,1,376,23937,36.9688,-78.5615,1970,143,644,5734,1371818652.0,37.901707,-79.52365,0.0,0,754,220
324,320,0,6.98,Daniel,Escobar,0,571,48174,42.2203,-83.3583,31515,330,415,5606,1371818669.0,42.964421,-83.670351,0.0,0,754,676
100,492,6,31.88,Joseph,Nixon,0,793,21865,38.2833,-75.8465,470,291,312,5727,1371818723.0,38.215956,-75.272334,0.0,0,755,785
790,207,5,242.35,Amanda,Molina,1,773,19154,40.0897,-74.9781,1526206,87,434,1849,1371818748.0,39.151823,-75.035003,0.0,0,755,619
829,14,5,20.66,Marissa,Powell,1,450,68859,41.4972,-98.7858,509,297,571,6451,1371818768.0,41.103974,-98.4845,0.0,0,756,562
194,257,7,127.76,Vincent,Cain,0,604,36344,31.086,-85.7192,5732,244,85,4224,1371818776.0,31.361379,-85.084231,0.0,0,756,324
753,368,1,4.24,Kathryn,Smith,1,180,65072,38.2911,-92.7059,1847,428,724,3972,1371818783.0,38.40991,-92.002267,0.0,0,756,674
103,675,6,28.51,Daniel,Briggs,0,657,87035,34.9889,-106.0609,7268,446,715,5356,1371818804.0,35.342658,-106.334921,0.0,0,756,514
582,76,7,29.39,Melinda,Gutierrez,1,132,61530,40.7152,-89.2706,6713,31,86,2317,1371818810.0,41.415532,-89.517881,0.0,0,756,254
867,179,12,5.85,Carolyn,Perez,1,411,64874,36.7651,-94.0492,760,347,660,5946,1371818814.0,37.191244,-94.746417,0.0,0,756,839
598,199,10,12.64,Jennifer,Spencer,1,453,43102,39.6251,-82.7552,4512,181,779,1746,1371818841.0,39.66641,-83.562243,0.0,0,757,21
58,33,12,9.63,Brandy,Quinn,1,880,77412,29.6047,-96.5249,106,133,611,234,1371818855.0,29.472265,-96.14221,0.0,0,757,16
808,515,5,18.02,Monique,Martin,1,632,75858,31.3833,-95.0619,43,163,111,8047,1371818856.0,30.950957,-94.108481,0.0,0,757,652
116,452,9,2.54,Joseph,Gonzalez,0,299,37132,35.8596,-86.421,158701,245,541,4367,1371818868.0,36.333062,-86.086992,0.0,0,757,532
438,557,11,9.17,Grace,Williams,1,273,36758,32.6176,-86.9475,1412,128,405,6594,1371818877.0,32.678558,-87.272214,0.0,0,757,624
848,490,6,26.03,Amber,Lewis,1,589,60958,41.0646,-87.5917,2135,359,883,6187,1371818894.0,42.013548,-88.039021,0.0,0,758,614
758,571,5,46.81,Lisa,Mendez,1,418,73754,36.385,-98.0727,1078,349,137,7005,1371818895.0,37.019405,-97.388758,0.0,0,758,413
528,46,6,61.44,Jessica,Ward,1,668,85020,33.5623,-112.0559,1312922,100,588,4628,1371818903.0,33.914314,-111.576584,0.0,0,758,620
155,531,12,68.51,Theresa,Powell,1,96,75452,33.4044,-96.2238,4090,417,523,6110,1371818937.0,32.852509,-95.443675,0.0,0,758,430
463,314,1,57.53,Lawrence,Frost,0,753,3905,43.0976,-70.7121,1780,46,605,2730,1371818941.0,42.526152,-70.524338,0.0,0,759,408
258,621,13,2.3,Monica,Lane,1,309,4226,44.6084,-70.6993,190,23,395,2513,1371818982.0,43.70784,-71.15595,0.0,0,759,230
204,433,10,28.74,Ana,Mccormick,1,427,83646,43.6498,-116.4306,84106,238,421,7158,1371819038.0,43.84533,-116.859776,0.0,0,760,488
406,485,1,1.92,Mark,Wood,0,779,4287,44.0575,-69.9656,3224,156,844,4684,1371819086.0,44.191357,-70.730185,0.0,0,761,90
847,67,12,3.37,Amanda,Gomez,1,746,75218,32.8463,-96.6972,1263321,113,488,3236,1371819094.0,32.422918,-96.070476,0.0,0,761,194
844,226,5,22.42,Nathan,Mendoza,0,708,87533,35.9866,-106.0654,18408,216,436,2938,1371819105.0,36.955738,-105.798176,0.0,0,761,251
430,74,10,12.33,Barbara,Lowe,1,622,75092,33.6372,-96.6184,46563,425,404,7245,1371819166.0,34.17475,-96.873112,0.0,0,762,717
475,109,13,6.85,Jordan,May,0,142,76008,32.7004,-97.6039,13602,308,631,6544,1371819228.0,33.268393,-98.42305,0.0,0,763,9
452,187,6,80.8,Derek,Bentley,0,720,68463,40.8731,-96.1528,1517,112,132,7886,1371819238.0,41.056503,-96.593249,0.0,0,763,818
128,409,12,5.61,Michael,Johnson,0,82,90650,33.9056,-118.0818,105549,188,461,5420,1371819255.0,34.154574,-117.853243,0.0,0,764,568
216,33,12,7.47,Lori,Rodriguez,1,100,45622,39.3543,-82.503,321,103,557,1105,1371819268.0,39.087656,-82.268046,0.0,0,764,184
477,41,6,43.47,Jerry,Robinson,0,194,49613,44.5232,-86.2061,680,118,336,48,1371819284.0,43.621152,-85.447931,0.0,0,764,29
348,1,10,8.32,Mary,Mcintyre,1,716,97403,44.0385,-123.0614,191096,396,298,2731,1371819292.0,43.046296,-122.689361,0.0,0,764,253
425,591,10,37.0,Amber,Perez,1,863,57340,43.7588,-97.8712,355,185,172,342,1371819295.0,44.398989,-97.772526,0.0,0,764,275
384,165,1,9.76,Judy,Hogan,1,469,11217,40.6816,-73.9798,2504700,277,859,231,1371819310.0,41.402386,-73.167331,0.0,0,765,107
44,506,6,75.99,Ian,Patton,0,741,93627,36.4992,-120.0936,123,129,455,4540,1371819314.0,35.884509,-120.349641,0.0,0,765,338
336,391,7,26.54,Rachel,Lowe,1,357,69165,41.1558,-101.136,1789,234,603,46,1371819319.0,41.1231,-101.207306,0.0,0,765,759
117,191,13,558.03,Daniel,Boyd,0,812,70531,30.251,-92.5002,1261,47,424,4813,1371819319.0,30.87087,-92.873036,0.0,0,765,238
842,596,6,5.26,Katherine,Tucker,1,619,33811,27.9865,-82.0139,237282,85,554,5770,1371819321.0,28.642801,-82.701559,0.0,0,765,416
86,111,6,46.33,Julie,Johnson,1,841,67545,38.1485,-98.6408,215,338,372,2589,1371819366.0,38.908427,-99.275548,0.0,0,766,359
38,323,0,19.3,Jennifer,Black,1,269,26292,39.1505,-79.503,836,191,586,1918,1371819464.0,39.097309,-79.398315,0.0,0,767,767
300,398,7,49.77,Megan,Murphy,1,497,68950,40.4542,-98.6538,331,437,122,5698,1371819472.0,39.723854,-98.16341,0.0,0,767,350
547,113,5,109.54,Kathy,Hughes,1,20,51006,42.3327,-95.6045,1075,431,840,4906,1371819476.0,42.079377,-96.459033,0.0,0,767,57
779,644,0,48.05,Gina,Grimes,1,419,16114,41.3851,-80.1752,606,144,845,5573,1371819487.0,41.928491,-80.004966,0.0,0,768,150
87,315,1,7.25,Whitney,Gallagher,1,33,41812,37.2409,-82.7696,230,97,842,5561,1371819522.0,36.578865,-83.087049,0.0,0,768,206
80,84,5,145.44,Jason,Farmer,0,321,35131,33.7367,-86.1619,4159,138,853,2113,1371819529.0,33.315422,-85.538494,0.0,0,768,648
306,151,0,173.09,Randall,Burgess,0,382,31771,31.2462,-83.6549,5666,387,880,7378,1371819576.0,32.024134,-84.370346,0.0,0,769,555
356,671,7,42.21,Angie,Jones,1,643,33760,27.9004,-82.7152,172247,200,560,3097,1371819583.0,28.51525,-81.9264,0.0,0,769,155
724,544,13,4.13,Taylor,Khan,1,609,16048,41.0472,-79.8089,139,314,156,6162,1371819607.0,42.039551,-80.43667,0.0,0,770,565
487,576,1,8.57,Jose,Vasquez,0,530,77566,29.0393,-95.4401,28739,196,868,5048,1371819647.0,28.984465,-95.201668,0.0,0,770,414
661,252,12,2.6,Monica,Tucker,1,288,42171,37.0581,-86.1938,6841,451,862,270,1371819665.0,37.768096,-85.96479,0.0,0,771,727
661,448,8,7.01,Monica,Tucker,1,288,42171,37.0581,-86.1938,6841,451,862,6869,1371819676.0,37.330453,-86.371893,0.0,0,771,727
793,13,11,32.82,Melissa,Meza,1,220,33470,26.7383,-80.276,26551,313,524,1331,1371819689.0,27.22974,-79.854819,0.0,0,771,453
133,388,1,6.96,Martin,Ford,0,529,21524,39.6967,-78.8031,626,143,239,2469,1371819696.0,39.373197,-78.936159,0.0,0,771,177
431,22,12,1.8,Dorothy,Thomas,1,498,45150,39.1657,-84.233,31394,220,837,3169,1371819717.0,39.718638,-83.508406,0.0,0,771,496
855,456,6,63.92,Juan,Henry,0,887,59542,48.8328,-108.3961,192,195,296,4610,1371819719.0,48.593996,-109.34164,0.0,0,771,783
45,310,12,3.93,Destiny,Lowe,1,733,13647,44.6087,-74.9732,69,68,771,119,1371819754.0,44.838244,-73.999716,0.0,0,772,318
429,61,7,49.07,William,Cannon,0,415,24983,37.5802,-80.5248,2443,65,67,868,1371819791.0,37.234253,-80.919841,0.0,0,773,789
515,460,1,9.44,Amanda,Vance,1,128,76951,31.8351,-101.0017,1143,393,261,2522,1371819851.0,31.58089,-100.124515,0.0,0,774,746
728,619,0,67.9,Stanley,Dickson,0,66,15480,39.9961,-79.7678,1946,60,747,7036,1371819919.0,39.405308,-80.276368,0.0,0,775,728
609,104,1,2.89,David,Rodriguez,0,750,49440,43.2326,-86.2492,128715,216,825,3335,1371819920.0,42.771404,-86.007649,0.0,0,775,534
0,362,6,124.66,Mary,Diaz,1,894,82514,43.0048,-108.8964,1645,233,666,7748,1371819942.0,42.945526,-108.530901,0.0,0,775,271
801,139,0,147.98,Amy,Abbott,1,12,45415,39.8355,-84.2613,479994,172,401,7972,1371819955.0,39.990538,-83.772467,0.0,0,775,200
532,611,5,12.32,Cody,Hooper,0,669,72354,35.6069,-90.3359,2470,105,365,7334,1371819970.0,36.366507,-89.559427,0.0,0,776,431
582,660,7,96.19,Melinda,Gutierrez,1,132,61530,40.7152,-89.2706,6713,31,86,7386,1371819991.0,41.264839,-89.537983,0.0,0,776,254
238,541,1,74.93,Sharon,Smith,1,159,92585,33.7467,-117.1721,54287,114,442,1638,1371820059.0,32.811948,-117.597983,0.0,0,777,755
873,123,5,133.84,Charles,Moreno,0,767,33040,24.6557,-81.3824,32891,455,686,1962,1371820059.0,24.630585,-80.806677,0.0,0,777,398
665,312,10,68.79,Kenneth,Edwards,0,351,46702,40.8618,-85.6067,2304,382,174,5694,1371820065.0,40.754358,-84.74907,0.0,0,777,25
730,421,11,118.21,Valerie,Davis,1,376,23937,36.9688,-78.5615,1970,143,644,327,1371820075.0,36.46674,-78.785534,0.0,0,777,220
536,651,7,64.36,Michele,Patrick,1,519,83869,47.9657,-116.868,4161,347,198,6457,1371820105.0,47.57809,-117.293211,0.0,0,778,736
579,492,6,16.02,James,Stephens,0,95,22968,38.2586,-78.4074,9815,113,492,4834,1371820121.0,38.897742,-79.366165,0.0,0,778,682
731,571,11,1199.45,Rebecca,Erickson,1,556,28405,34.2651,-77.867,186140,168,614,1151,1371820126.0,34.622777,-77.827863,0.0,0,778,847
637,460,1,7.44,Leslie,Ford,1,466,25106,38.8265,-82.1364,642,49,96,3369,1371820135.0,39.656974,-81.869361,0.0,0,778,339
188,136,10,30.09,Karen,Sullivan,1,590,60963,40.3625,-87.6692,1807,52,487,2882,1371820156.0,40.875589,-87.326088,0.0,0,779,681
779,392,11,28.94,Gina,Grimes,1,419,16114,41.3851,-80.1752,606,144,845,4396,1371820179.0,41.990632,-79.263948,0.0,0,779,150
858,546,7,185.27,Toni,Gomez,1,50,12910,44.8816,-73.6408,2148,420,148,1184,1371820211.0,44.94133,-72.776396,0.0,0,780,18
384,8,11,4.74,Judy,Hogan,1,469,11217,40.6816,-73.9798,2504700,277,859,7235,1371820212.0,41.054447,-73.397034,0.0,0,780,107
870,565,7,85.39,Ashley,Cruz,1,607,70774,30.2385,-90.8435,10076,423,533,5447,1371820251.0,30.294573,-91.095702,0.0,0,780,689
390,382,10,8.04,Mike,Tran,0,155,21090,39.2092,-76.6681,9784,98,0,4124,1371820318.0,38.822123,-76.630036,0.0,0,781,434
379,629,9,3.27,Richard,Brown,0,161,39439,31.882,-88.9981,4573,179,711,1973,1371820323.0,30.913891,-89.899434,0.0,0,782,335
867,546,7,95.67,Carolyn,Perez,1,411,64874,36.7651,-94.0492,760,347,660,5910,1371820362.0,37.587316,-93.356223,0.0,0,782,839
608,456,6,69.86,Gail,Weaver,1,886,29809,33.413,-81.69,2206,44,684,4765,1371820393.0,34.071619,-81.220208,0.0,0,783,540
302,565,7,38.88,Christopher,Gomez,0,858,70466,30.5668,-90.482,8512,2,127,4958,1371820477.0,29.903396,-90.938375,0.0,0,784,771
384,253,5,30.13,Judy,Hogan,1,469,11217,40.6816,-73.9798,2504700,277,859,4629,1371820508.0,39.757225,-74.168759,0.0,0,785,107
821,148,6,72.11,Joe,Howard,0,91,15077,40.6025,-80.3863,198,401,547,6699,1371820533.0,40.748806,-80.020684,0.0,0,785,719
803,234,7,70.54,Patricia,Mendoza,1,150,84325,41.71,-111.9817,2078,392,283,7807,1371820540.0,42.491626,-112.511975,0.0,0,785,486
256,397,10,23.23,Tara,Campbell,1,42,82901,41.606,-109.23,27971,290,622,6414,1371820551.0,42.096035,-109.177709,0.0,0,785,670
289,161,10,51.05,Brian,Perez,0,724,1330,42.5232,-72.811,1506,344,232,1366,1371820553.0,41.642272,-72.961369,0.0,0,785,38
